"income_yr_2019","income_yr_2020","income_yr_2021","stations_count"
886147,934201,1012658,5
484702,540452,566870,1
1655566,1798265,1922606,6
278054,302340,338192,1
617622,666177,732636,1
9865804,10492064,11234551,12
1185545,1288980,1409153,4
903297,978485,1035573,3
262127,286979,307080,1
66432,74454,84828,2
268921,300014,313586,3
212268,245091,257191,1
1204932,1278213,1365987,3
691787,767664,828264,5
1157359,1273654,1407718,6
89344,88347,94401,2
823597,878001,945297,5
384034,398094,420418,2
208269,222109,241041,3
2355726,2617491,2938381,5
186669,214125,223961,4
1891307,2054528,2287433,4
221137,247548,267534,3
247782,285310,322221,16
29910418,32008515,35246181,98
443831,487851,516409,3
4075581,4332292,4638435,8
3148332,3359009,3594866,17
4056380,4444147,5016318,7
1422544,1544154,1631145,10
6024143,6441173,6897834,31
26666042,28374864,30469772,31
9233680,9924569,10590642,22
24793856,25939157,27987309,40
7017182,7526169,8095769,13
13757969,15155351,16033351,29
83968368,86654329,92848060,144
28594559,30322964,32265066,30
28078352,30075581,32286039,38
6048337,6496246,6888548,14
6217937,6745296,7306345,1
54920477,58783567,63528603,90
16741310,17826365,19045893,16
46593911,47340530,50609752,89
11692315,12017997,13029821,18
26529544,27842874,30065659,55
52875245,55955439,60446686,80
53031401,55330855,59449633,68
49693049,51214074,55067035,64
33590289,36305207,39474190,22
26364032,28516392,30858408,26
3154977,3433388,3743184,13
37178946,36764029,39395044,45
9147619,9571529,10342089,14
39375495,40752801,44056643,54
6096895,6439256,6980545,4
31136800,33705077,36158065,60
2584593,2775784,2945627,1
767174,858309,941307,1
500548,550883,588311,2
2160402,2356201,2496644,3
1163951,1249526,1353643,1
150667,165261,192442,2
114155310,121767470,133596955,319
3810527,4008545,4349385,17
2540985,2710950,2844208,10
182050,196218,209668,3
835855,917580,974849,4
783319,899485,982822,2
2059276,2316074,2507957,3
184145,203475,217938,1
2388130,2645090,2855076,4
328567,357713,387774,3
1411423,1569963,1706274,1
6588622,7160757,7841941,6
4477477,4715660,5049661,9
1001029,1116966,1218739,2
9510296,10079938,10790792,56
452084,523314,572546,2
588268,643950,691415,2
1288377,1433102,1547959,5
518899,578518,634061,2
146375,163874,169824,1
2745245,3051629,3356613,11
19667212,21098892,22259278,367
1717992,1880783,1962676,7
54854029,62197095,66735687,25
8696718,9456376,9991656,42
3144033,3432258,3574854,11
3420422,3702307,3902561,10
